,draft_year,pick_no,player_name
580,2022,41,E.J. Liddell
581,2022,42,Trevor Keels
582,2022,43,Moussa Diabaté
583,2022,44,Ryan Rollins
584,2022,45,Josh Minott
585,2022,46,Ismael Kamagate
586,2022,47,Vince Williams Jr.
587,2022,48,Kendall Brown
588,2022,49,Isaiah Mobley
589,2022,50,Matteo Spagnolo
590,2022,51,Tyrese Martin
591,2022,52,Karlo Matković
592,2022,53,JD Davison
593,2022,54,Yannick Nzosa
594,2022,55,Gui Santos
595,2022,56,Luke Travers
596,2022,57,Jabari Walker
597,2022,58,Hugo Besson
